time,setpoint,measurement,xhat,voltage
0,2562.849899,0,60.81229434,10.26260803
0.02,2562.849864,140.1626874,147.7430536,12
0.04,2562.848547,174.7715945,224.8078076,12
0.06,2562.854005,116.0377975,265.0947678,12
0.08,2563.151342,202.2308162,321.4454712,12
0.1,2563.154367,240.0065128,354.1637377,12
0.12,2563.173268,262.1890647,392.7574493,12
0.14,2562.88994,301.2826446,429.0787228,12
0.16,2562.88994,337.0827724,464.260771,12
0.18,2562.906196,362.9601754,493.2230628,12
0.2,2562.906196,372.6839926,524.3065819,12
0.22,2562.93125,393.3548829,545.666494,12
0.24,2562.957415,442.4340242,574.1704697,12
0.26,2562.970834,471.8719045,611.3900134,12
0.28,2562.991483,488.1104114,642.1600294,12
0.3,2562.977673,544.7135765,668.8819434,12
0.32,2562.977673,590.0323243,699.8672983,12
0.34,2562.977691,590.0323243,728.1948793,12
0.36,2562.998602,615.642238,755.3068052,12
0.38,2562.982988,690.9070006,786.8269506,12
0.4,2562.965755,674.1655449,795.5974775,12
0.42,2562.947718,707.8078568,829.1404162,12
0.44,2562.935836,744.9841706,869.4087182,12
0.46,2562.921556,726.2847687,897.0802114,12
0.48,2562.908456,809.1494739,909.9761034,12
0.5,2562.894439,786.2822061,931.1673967,12
0.52,2562.89442,858.1015773,945.9850229,12
0.54,2562.871565,858.1015773,977.3535931,12
0.56,2562.854934,913.3581182,998.9093859,12
0.58,2562.813973,913.3581182,1035.841209,12
0.6,2562.804959,944.3598298,1064.853174,12
0.62,2562.788527,944.3598298,1094.301652,12
0.64,2562.787505,1011.719762,1114.931851,12
0.66,2562.764537,1011.719762,1132.701631,12
0.68,2562.756234,1011.719762,1140.925622,12
0.7,2562.735686,1049.897866,1180.374693,12
0.72,2562.70119,1121.518806,1223.951494,12
0.74,2562.680792,1180.064649,1237.428249,12
0.76,2562.680929,1180.064649,1295.082516,12
0.78,2562.697393,1253.690866,1319.210319,12
0.8,2562.70798,1251.521851,1351.281359,12
0.82,2562.70328,1287.152366,1397.403585,12
0.84,2562.708965,1324.871117,1446.689461,12
0.86,2562.716056,1391.114672,1487.872414,12
0.88,2562.70756,1415.615714,1522.04232,12
0.9,2562.70756,1532.583961,1559.572364,12
0.92,2562.699959,1586.358837,1593.677339,12
0.94,2562.69945,1562.37501,1636.759107,12
0.96,2562.692359,1618.298948,1665.341101,12
0.98,2562.687829,1718.241401,1743.524628,12
1,2562.684365,1768.654351,1760.048422,12
1.02,2562.682049,1718.241401,1778.188867,12
1.04,2562.646033,1768.654351,1790.654582,12
1.06,2562.646033,1923.881994,1829.637301,12
1.08,2562.61743,1826.716236,1873.759733,12
1.1,2562.61743,1888.71966,1942.402697,12
1.12,2562.617016,1859.587737,1969.760746,12
1.14,2562.616601,2102.847761,1988.560597,12
1.16,2562.616601,1971.061661,2069.078712,12
1.18,2562.368796,2140.176419,2094.445193,11.70612291
1.2,2562.361705,2078.677097,2126.921421,11.31967574
1.22,2562.114117,2096.75255,2164.929579,10.8691907
1.24,2562.0885,2198.722279,2205.658274,10.38510104
1.26,2562.0885,2198.722279,2210.224621,10.33086034
1.28,2562.114117,2225.783476,2240.390708,9.974329816
1.3,2562.121208,2225.783476,2273.349821,9.584953983
1.32,2562.095731,2363.985718,2282.83529,9.472772844
1.34,2562.07256,2289.176043,2327.483763,8.944561028
1.36,2562.076009,2387.391517,2335.283132,8.852136854
1.38,2562.076439,2468.872456,2374.355415,8.390238692
1.4,2562.080068,2520.486514,2422.645671,7.8193442
1.42,2562.079691,2574.304732,2460.932075,7.366735472
1.44,2562.084039,2520.486514,2478.244514,7.162073055
1.46,2562.087441,2630.47138,2511.652929,6.767157972
1.48,2562.088041,2574.304732,2518.092151,6.6910663
1.5,2562.090939,2574.304732,2537.242943,6.46467336
1.52,2562.092222,2729.734451,2576.044917,6.00596911
1.54,2562.088921,2574.304732,2592.808971,5.807773735
1.56,2562.088921,2630.47138,2592.976057,5.805765519
1.58,2562.088921,2574.304732,2611.835915,5.582793768
1.6,2562.088921,2640.071641,2623.947506,5.439603787
1.62,2562.092007,2640.071641,2612.972952,5.56936431
1.64,2562.092007,2669.297526,2598.174582,5.744349579
1.66,2562.092007,2494.412516,2615.174593,5.543365973
1.68,2562.088921,2468.872456,2577.298139,5.991149298
1.7,2562.088921,2574.304732,2575.264371,6.015162948
1.72,2562.088921,2520.486514,2581.70911,5.938969651
1.74,2562.078693,2520.486514,2596.446028,5.764697766
1.76,2562.068466,2574.304732,2572.544391,6.04713069
1.78,2562.068466,2574.304732,2540.450997,6.426454963
1.8,2562.068466,2520.486514,2544.01288,6.384344396
1.82,2562.052489,2520.486514,2531.596717,6.53106674
1.84,2562.038139,2760.990953,2545.912213,6.361600561
1.86,2562.023789,2669.297526,2581.607695,5.939384462
1.88,2561.996739,2771.569462,2570.439092,6.071167282
1.9,2561.996739,2699.177722,2586.523016,5.880745129
1.92,2561.996739,2669.297526,2654.413639,5.078104334
1.94,2562.023789,2574.304732,2624.780466,5.428560136
1.96,2562.023789,2574.304732,2605.75186,5.653795951
1.98,2562.038139,2669.297526,2593.532242,5.79832458
2,2562.038139,2574.304732,2585.685729,5.891233158
2.02,2562.052489,2574.304732,2558.356887,6.214391451
2.04,2562.058474,2547.111372,2563.09778,6.158510349
2.06,2562.058474,2547.111372,2566.142658,6.122571628
2.08,2562.064519,2574.304732,2553.082697,6.276999675
2.1,2562.066463,2669.297526,2578.060829,5.981762717
2.12,2562.066463,2669.297526,2591.423106,5.823805773
2.14,2562.064519,2574.304732,2610.836811,5.594277801
2.16,2562.066463,2547.111372,2623.304016,5.446872552
2.18,2562.066463,2669.297526,2615.178775,5.542953005
2.2,2562.066463,2520.486514,2626.092484,5.413925058
2.22,2562.064459,2574.304732,2606.59774,5.64439421
2.24,2562.066433,2574.304732,2579.062875,5.969915251
2.26,2562.066433,2574.304732,2561.3804,6.178986956
2.28,2562.068407,2520.486514,2591.54381,5.822386774
2.3,2562.068407,2547.111372,2584.411165,5.906732503
2.32,2562.066463,2574.304732,2579.830614,5.960878002
2.34,2562.07155,2574.304732,2584.639852,5.904022982
2.36,2562.064459,2520.486514,2572.390546,6.048861312
2.38,2562.063842,2669.297526,2557.095335,6.229616662
2.4,2562.063842,2485.840652,2547.272885,6.345736991
2.42,2562.06321,2468.872456,2555.980495,6.242788069
2.44,2562.06321,2574.304732,2577.243104,5.991403368
2.46,2562.06321,2574.304732,2601.730361,5.701901366
2.48,2562.063225,2630.47138,2609.30167,5.612389194
2.5,2562.063225,2574.304732,2595.814658,5.77184032
2.52,2562.06318,2574.304732,2548.460327,6.331689421
2.54,2562.063136,2574.304732,2556.743018,6.23376619
2.56,2562.063136,2574.304732,2580.411292,5.953946221
2.58,2562.057812,2640.071641,2620.626942,5.47847159
2.6,2562.057812,2547.111372,2588.071702,5.863304827
2.62,2562.063136,2520.486514,2567.165216,6.110495773
2.64,2562.06318,2520.486514,2553.739597,6.269274062
2.66,2562.06318,2574.304732,2537.843069,6.457212121
2.68,2562.063165,2669.297526,2602.010916,5.698583996
2.7,2562.063165,2574.304732,2617.635972,5.513855738
2.72,2562.06315,2460.474931,2578.876609,5.972090459
2.74,2562.063165,2333.482676,2517.596192,6.696581618
2.76,2562.063165,2494.412516,2491.433814,7.005887976
2.78,2562.063147,2311.117028,2452.930934,7.461090412
2.8,2562.077328,2356.285439,2424.031745,7.802813312
2.82,2562.098581,2387.391517,2438.144866,7.636192252
2.84,2562.063147,2356.285439,2447.208485,7.529096652
2.86,2562.041875,2485.840652,2467.037881,7.294218887
2.88,2562.041893,2494.412516,2496.865698,6.94136632
2.9,2562.048984,2574.304732,2501.317773,6.888761966
2.92,2562.06315,2411.265432,2467.787989,7.285300994
2.94,2562.056045,2387.391517,2482.64573,7.109754952
2.96,2562.041863,2460.474931,2462.327203,7.349840463
2.98,2562.041875,2443.8501,2430.063911,7.73113408
3,2562.063147,2435.621649,2442.015862,7.589922715
